Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1990,1990,1990,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,337994338,,,0
H0,1990,1990,1990,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,15099,,,0
H0,1990,1990,1990,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,426133024,,,0
H0,1990,1990,1990,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,6032262677,,,0
H0,1990,1990,1990,2,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,13058390,,,0
H0,1990,1990,1990,2,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,429252064,,,0
H0,1990,1990,1990,2,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,475959,,,0
H0,1990,1990,1990,2,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,527675808,,,0
H0,1990,1990,1990,2,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1908286464,,,0
H0,1990,1990,1990,2,0,2,Export,280,Fmr Fed. Rep. of Germany,DEU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2299362048,,,0
H0,1990,1990,1990,2,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,44326032,,,0
H0,1990,1990,1990,2,0,2,Export,332,Haiti,HTI,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1513470,,,0
H0,1990,1990,1990,2,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,58450,,,0
H0,1990,1990,1990,2,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,3344157440,,,0
H0,1990,1990,1990,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,106340492,,,0
H0,1990,1990,1990,2,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,140014064,,,0
H0,1990,1990,1990,2,0,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1700840,,,0
H0,1990,1990,1990,2,0,2,Export,454,Malawi,MWI,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,4057567,,,0
H0,1990,1990,1990,2,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,3329496200,,,0
H0,1990,1990,1990,2,0,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,139467104,,,0
H0,1990,1990,1990,2,0,2,Export,512,Oman,OMN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1707609,,,0
H0,1990,1990,1990,2,0,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,434561666,,,0
H0,1990,1990,1990,2,0,2,Export,600,Paraguay,PRY,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,37669040,,,0
H0,1990,1990,1990,2,0,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,480905152,,,0
H0,1990,1990,1990,2,0,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,163727008,,,0
H0,1990,1990,1990,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,14130195,,,0
H0,1990,1990,1990,2,0,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,540795904,,,0
H0,1990,1990,1990,2,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,348431168,,,0
H0,1990,1990,1990,2,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,336048576,,,0
H0,1990,1990,1990,2,0,2,Export,764,Thailand,THA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,205367470,,,0
H0,1990,1990,1990,2,0,2,Export,792,Turkey,TUR,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,35453248,,,0
H0,1991,1991,1991,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,396103325,,,0
H0,1991,1991,1991,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,380614,,,0
H0,1991,1991,1991,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,442145056,,,0
H0,1991,1991,1991,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,5807044975,,,0
H0,1991,1991,1991,2,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,22471201,,,0
H0,1991,1991,1991,2,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,466023552,,,0
H0,1991,1991,1991,2,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,13340086,,,0
H0,1991,1991,1991,2,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,387919,,,0
H0,1991,1991,1991,2,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,526566176,,,0
H0,1991,1991,1991,2,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,27856616,,,0
H0,1991,1991,1991,2,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1583601408,,,0
H0,1991,1991,1991,2,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2408200960,,,0
H0,1991,1991,1991,2,0,2,Export,332,Haiti,HTI,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1323708,,,0
H0,1991,1991,1991,2,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,101946,,,0
H0,1991,1991,1991,2,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,3675386112,,,0
H0,1991,1991,1991,2,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,244784,,,0
H0,1991,1991,1991,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,110469006,,,0
H0,1991,1991,1991,2,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,116859592,,,0
H0,1991,1991,1991,2,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,3429035,,,0
H0,1991,1991,1991,2,0,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2844230,,,0
H0,1991,1991,1991,2,0,2,Export,454,Malawi,MWI,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2014637,,,0
H0,1991,1991,1991,2,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,3404850710,,,0
H0,1991,1991,1991,2,0,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,160121616,,,0
H0,1991,1991,1991,2,0,2,Export,512,Oman,OMN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1341374,,,0
H0,1991,1991,1991,2,0,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,529192797,,,0
H0,1991,1991,1991,2,0,2,Export,600,Paraguay,PRY,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,44194216,,,0
H0,1991,1991,1991,2,0,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,411058208,,,0
H0,1991,1991,1991,2,0,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,99682600,,,0
H0,1991,1991,1991,2,0,2,Export,682,Saudi Arabia,SAU,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,7837272,,,0
H0,1991,1991,1991,2,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,16449380,,,0
H0,1991,1991,1991,2,0,2,Export,702,Singapore,SGP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,557286464,,,0
H0,1991,1991,1991,2,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,320551392,,,0
H0,1991,1991,1991,2,0,2,Export,757,Switzerland,CHE,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,344971840,,,0
H0,1991,1991,1991,2,0,2,Export,764,Thailand,THA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,223867004,,,0
H0,1991,1991,1991,2,0,2,Export,780,Trinidad and Tobago,TTO,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,4864167,,,0
H0,1991,1991,1991,2,0,2,Export,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,432175,,,0
H0,1991,1991,1991,2,0,2,Export,788,Tunisia,TUN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2396298,,,0
