Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,10062,,,,10062,,6792,,,0
H1,1996,1996,1996,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,4703638,,,,4703638,,2711720,,,0
H1,1996,1996,1996,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,29265,,,,29265,,43989,,,0
H1,1996,1996,1996,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,66763,,,,66763,,87688,,,0
H1,1996,1996,1996,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,99320829,,,,99320829,,53181030,,,0
H1,1996,1996,1996,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,40061,,,,40061,,38885,,,0
H1,1996,1996,1996,4,0,3,Re-Export,36,Australia,AUS,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,5125,,,,5125,,3964,,,0
H1,1996,1996,1996,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,16220998,,,,16220998,,13582688,,,0
H1,1996,1996,1996,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,651548,,,,651548,,776404,,,0
H1,1996,1996,1996,4,0,1,Import,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,160455760,,,,160455760,,97953832,,,0
H1,1996,1996,1996,4,0,2,Export,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,58064456,,,,58064456,,41896056,,,0
H1,1996,1996,1996,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,922780,,,,922780,,873211,,,0
H1,1996,1996,1996,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,36968,,,,36968,,23201,,,0
H1,1996,1996,1996,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,9410931,,,,9410931,,4254600,,,0
H1,1996,1996,1996,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,322312,,,,322312,,224991,,,0
H1,1996,1996,1996,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,1009183840,,,,1009183840,,527067395,,,0
H1,1996,1996,1996,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,160444466,,,,160444466,,100851165,,,0
H1,1996,1996,1996,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,9317175,,,,9317175,,5453597,,,0
H1,1996,1996,1996,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,25593812,,,,25593812,,12512051,,,0
H1,1996,1996,1996,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,1294024,,,,1294024,,798292,,,0
