Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,5415559,,,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,62293,,,0
H1,1996,1996,1996,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,315082,,,0
H1,1996,1996,1996,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,126696504,,,0
H1,1996,1996,1996,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,568329460,,,0
H1,1996,1996,1996,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,2062169856,,,0
H1,1996,1996,1996,2,0,2,Export,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1353319680,,,0
H1,1996,1996,1996,2,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,77581296,,,0
H1,1996,1996,1996,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,12038947292,,,0
H1,1996,1996,1996,2,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,,,,,1410929020,,,0
