Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,90039170,,,,90039170,,36356298,,,0
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,15730,,,,15730,,15905,,,0
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,105636,,,,105636,,114063,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,116722372,,,,116722372,,46615337,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,1397359,,,,1397359,,356902,,,0
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,14853578,,,,14853578,,8661752,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,1915600,,,,1915600,,1330575,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,4369729,,,,4369729,,2692370,,,0
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,750092357,,,,750092357,,277890754,,,0
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,205109316,,,,205109316,,91524480,,,0
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,33351715,,,,33351715,,18876554,,,0
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,37,,,,37,,60,,,0
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,9269032,,,,9269032,,2969926,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,7311135,,,,7311135,,2733741,,,0
H2,2002,2002,2002,4,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,1,No Quantity,,,,,135081000,,61543,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,18931768,,,,18931768,,9341917,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1511,Palm oil and its fractions,8,Weight in kilograms,78398,,,,78398,,43752,,,0
