Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,66538087,,,,66538087,,49881149,,,0
H3,2007,2007,2007,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,2598,,,,2598,,4011,,,0
H3,2007,2007,2007,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,28805931,,,,28805931,,14776977,,,0
H3,2007,2007,2007,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,1267065,,,,1267065,,1332278,,,0
H3,2007,2007,2007,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,10,,,,10,,71,,,0
H3,2007,2007,2007,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,128747387,,,,128747387,,88102906,,,0
H3,2007,2007,2007,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,87488,,,,87488,,122581,,,0
H3,2007,2007,2007,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,48041833,,,,48041833,,37711157,,,6
H3,2007,2007,2007,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,3430200,,,,3430200,,3733068,,,0
H3,2007,2007,2007,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,389861,,,,389861,,493780,,,0
H3,2007,2007,2007,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,380470152,,,,380470152,,295034342,,,0
H3,2007,2007,2007,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,29347213,,,,29347213,,31243346,,,0
H3,2007,2007,2007,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,48134226,,,,48134226,,35007366,,,0
